Abbrecherquote	Abbruchquote
Ratsherr	Mitglied des Stadtrats
Räuberleiter	Steighilfe; Raubleiter; Baumleiter; Dachlattentreppe
Raucherabteil	Abteil für Rauchende; Abteil zum Rauchen
Raucherbereich	Bereich für Rauchende; Bereich zum Rauchen; Rauchbereich
Raucherpause	Rauchpause; Zigarettenpause; Pause
Rechnungsempfänger (sg.)	die Rechnung empfangende Person
Rechnungsempfänger (pl.)	Rechnungsempfangende; Rechnungserhaltende
Rechnungsprüfer	Rechnungsprüfung; Person, die die Rechnungsprüfung macht; Person, die für die Rechnungsprüfung verantwortlich ist
Rechteinhaber (pl.)	Rechteinhabende
Rechter	rechts gesinnte Person [Anm.: Im Plural schon genderneutral.]
Rechthaber	rechthaberischer Mensch
Rechtsanwälte	Angehörige rechtsberatender Berufe
Rechtsextremer	rechtsextrem gesinnte Person [Anm.: Im Plural schon genderneutral.]
Rechtshänder	rechtshändige Person
Recruiter	rekrutierende Person
Redakteur	Redaktion; Redationsmitglied
Redner (sg.)	referierende Person; vortragende Person
Rednerliste	Redeliste
Rednerpult	Redepult
Referendar	Lehrkraft im Referendariat; LiV (Lehrkraft im Vorbereitungsdienst), referierende Person; vortragende Person; Referat
Referenten	Referierende; Vortragende
... Referenten waren ...	... Es referierten ...
Referententätigkeit	Referierendentätigkeit; Vortragstätigkeit; zuständig für Aufgaben im Referat xyz; zuständig für die Referatsleitung
Referentenvereinbarung	Vortragsvereinbarung; Honorarvereinbarung
Reformer (sg.)	reformierende Person; Reformperson
Reformer (pl.)	Reformierende
Regierungschef	Staatsoberhaupt; Regierung anführende Person
Regisseur	Regie
Rehasportler	Rehasportinteressierte
Reiseleiter	Reiseleitung
Reisender	reisende Person
Reiserückkehrer	zurückkommende Reisende 
Reiseveranstalter	Reiseveranstaltung; Reisebüro; Reiseorganisation; Reisekoordination; Reiseausrichtung; Reiseveranstaltende
Reiter	Person, die reitet
Rekrut	Nachwuchs (der Grundausbildung in der Bundeswehr)
Rektor	Schulleitung
Rentner (sg.)	Person im Ruhestand; Person in Rente
Rentner (pl.)	Menschen, im Rentenalter; Menschen, die in der Rente sind; Menschen in Rente
Reporter (sg.)	Presse; berichterstattende Person; Medienvertretung
Repräsentant	Vertretung
Rettungsassistent	Rettungsassistenz; mitarbeitende Person im Rettungsdienst
Rettungssanitäter	Rettungskraft; Rettungssanitätsdienst
Rettungsschwimmer (sg.)	aus dem Wasser rettende Person
Rettungshelfer	Rettungshilfe; rettungshilfeleistende Person
Rezeptionist	Empfang; Person/Personal am Empfang; Rezeption
Rezipient	rezipierende Person; empfangende Person
Rezipienten	Rezipierende; Publikum
Richter (sg.)	rechtsprechende Person
Richter (pl.)	Richterschaft
Ritter	Mensch in Rüstung
Ritterschlag	Belobigung; Ehrung; höchste Anerkennung einer Person
Ritterstand	regierender Adel
Rivale	Konkurrenz; Gegenpart
Rollstuhlfahrer (sg.)	Person im Rollstuhl
Ruderer (sg.)	rudernde Person
Sachbearbeiter (sg.)	Verwaltungskraft
Sachbearbeiter (pl.)	Verwaltungskräfte; Sachbearbeitende; Sachverständige
Sachbearbeiternummer	Kennnummer; Verwaltungsnummer; Nummer der zuständigen Verwaltungskraft
Sachverständiger	Person mit Sachverstand in ...
Salafist	salafistische Person
Sammler (pl.)	Sammelnde
Sänger (sg.)	Stimme; Act
Sänger (pl.)	Stimmen; Chor; Choraktive; Personen, die singen; Gesangsgruppe; Singende
Sanitäter (pl.)	Rettungskräfte; Sanitätsdienst
Säugling	[ist bereits genderneutral]
Schatzmeister (sg.)	Finanzvorstand; Kassenführung; Kassenverwaltung
Schauspieler (pl.)	Rollen; Besetzung; Darstellende
Schiedsrichter (sg.)	Spielleitung; schiedsrichtende Person; schiedsrichtendes Gremium; Schiedsgericht
Schirmherr	Support; gefördert/unterstützt von...
Schirmherrschaft	Support; gefördert/unterstützt von...; Vorstand; Repräsentanz
Schlägertyp	gewalttätige Person
Schlagmann [Rudern]	Schlagperson; taktangebende Person
Schlichter (pl.)	Schlichtende; Schlichtungspersonen
Schmied	auf die Schmiedekunst spezialisierte Person
Schneemann	Schneefigur
Schöffe	Schöffendienst leistende Person; ehrenamtlich richtende Person
Schöpfer (sg.)	(er-)schaffende Person
Schöpfer (pl.)	(Er-)Schaffende
Schreiber (sg.)	schreibende Person
Schriftführer	schriftführende Person; Protokoll
Schriftsteller (sg.)	bücherschreibende Person
Schriftsteller (pl.)	Urheberrechtsinhabende; Verfassende; Schreibende; Literaturschaffende
Schuhmacher	schuhherstellende Fachkraft
Schulabbrecher (pl.)	Geringqualifizierte; Menschen ohne Schulabschluss
Schulbegleiter	Schulbegleitung
Schuldiger (sg.)	schuldige Person
Schuldige (pl.)	[im Plural ist dieses Wort schon gendergerecht]
Schuldner (sg.)	die in Schuld stehende Person
Schüler (sg.)	Schulkind; Klassenmitglied; lernende Person
Schüler (pl.)	Schulkinder; Kinder; Jugendliche; die Klasse; Lernende; Beschulte; Klassenmitglieder; Mädchen und Jungen; Schülerschaft; Schülis
Schüleraustausch	Schulaustausch
Schülerausweis	Schulausweis
Schülerbegegnung	Schulbegegnung; Klassenbegegnung
Schülerexperiment	Gruppenexperiment; Klassenexperiment; Einzelexperiment
Schülerfahrtkosten	Schulfahrtkosten; Schulwegkosten; Exkurskosten; Fahrtkosten
Schülerfirma	Juniorfirma; 
Schülerlabor	Schullabor
Schülerpraktikum	Schulpraktikum; Praktikum in der Schulzeit
Schülervertreter (sg.)	Person, die die Schülerschaft vertritt; Lernendenvertretung
Schülervertreter (pl.)	Schulkindervertretung; Vertretung der Lernenden; Schülerschaftsvertretung 
Schülervorstellungen	Schulaufführungen; Projektvorstellung; Musikaufführung; Theateraufführung; Konzert; Talentshow; Aufführung
Schülerzeitung	Schülerschaftszeitung; Schülizeitung; Zeitung der Lernenden; Zeitung der Lerngemeinschaft
Schulleiter	Schulleitung
Schulsozialarbeiter	Fachkraft für Schulsozialarbeit
Schulträger	Schulträgerschaft
Schulungsleiter	Schulungsleitung
Schuster	Schusterwerkstatt; Schusterei
Schütze	schießende Person; Schuss abgebende Person/Dienstkraft
Schützenkönig	treffsicherste Person
schwangere Frauen	Schwangere
Schwätzer	Person mit losem Mundwerk; Unsinn redende Person
Schwesternzimmer	Dienstzimmer; Stationszimmer; Pflegestützpunkt
Schwiegermutter /-vater (sg.)	Schwiegerelternteil
Schwimmer (sg.)	schwimmende Person; Mensch mit Spaß am Schwimmen
Schwimmlehrer (sg.)	Schwimmlehrkraft
Schwimmmeister	Badeaufsicht
Schwimmmeisterraum	Raum der Badeaufsicht
Seefahrer (pl.)	Seeleute
Seemann	Hochsee-Fachkraft; maritime Fachkraft
Segler (sg.)	segelnde Person; Person im Segelsport
seinerzeit	zu jener Zeit; damals; einst; früher
seinesgleichen	von gleicher Art
Seiteneinsteiger	Person mit Seiteneinstieg/Quereinstieg
Seiteneinsteigerlehrgang	Seiteneinstiegslehrgang
Seiteneinsteigerprogramm	Seiteneinstiegsprogramm
Sekretärin	Verwaltungskraft; Assistenz; Schreibkraft; Bürokraft
Sekretärinnen	Verwaltungskräfte; Verwaltungsfachangestellte; Assistenzen; Schreibkräfte; Bürokräfte
Selbstabholer	bei Selbstabholung
Selbstdarsteller	sich selbst darstellende Person
Selbstmörder (sg.)	einen Suizid begehende Person
Selbstständiger (sg.)	selbstständig arbeitende Person
Seminarleiter (sg./pl.)	Seminarleitung
Sender (sg.)	gesendet von ...
Sender-Empfänger-Problem [Kommunikation]	Sende-Empfang-Problem
Sender-Nachricht-Empfänger-Modell	Kommunikationsmodell
Sender (pl.)	Sendende
Senioren	ältere Menschen; Menschen im Rentenalter; Menschen im 3. Lebensalter
Seniorenbeirat	Älterenbeirat; Ruhestandsbeirat; Beirat für das 3. Lebensalter
Seniorenangebot	Angebote für ältere Menschen
Servicemitarbeiter	Service; Service-Profi; Servicefachkraft
Sexist	sexistische Person
Showmaster	Showleitung; Showmoderation; moderierende Person
Sicherheitsbeauftragter	für Sicherheit zuständige/beauftragte Person; für Sicherheitsthemen zuständige/beauftragte Person
Siedler (pl.)	Ansässige; Siedelnde
Sieger (sg.)	Erster Platz; erstplatzierte Person
Siegerehrung	Bestenehrung; Bestenauszeichnung; Ehrung der gewinnenden Personen
Sitznachbar	Person neben mir; nebenan sitzende Person
... Diskutiere mit deinem Sitznachbarn.	... Diskutiere mit der Person neben dir.
Skeptiker (sg.)	(an etwas) zweifelnde Person
... die Argumente der EU-Skeptiker	... die Argumente der an der EU zweifelnden Menschen
Sklave	versklavte Person; in Sklaverei gehaltene Person; unfreier Mensch; leibeigene Person
Sklaven	Versklavte; in Sklaverei Gehaltene; Unfreie; Leibeigene
Sklavenhalter (pl.)	Sklaverei Ausführende
Softwareentwickler	Software entwickelnde Person
Soldaten	Streitkräfte im strengen Sinne nicht korrekt: auch zivile Angestellte, Beamt*innen und Auftragnehmende können Mitglieder der Streitkräfte sein
Solist	Solopart
Sozialarbeiter (sg.)	Fachkraft für Soziale Arbeit
Sozialarbeiter (pl.)	Sozialarbeitende; Fachkräfte der Sozialen Arbeit
Sozialleistungsträger (pl.)	Sozialleistungstragende
Sozialisten	sozialisitsche Personen; sozialistisch eingestellte Personen
Sozialpädagoge	sozialpädagogische Fachkraft
Sozialversicherungsfachangestellter	in der Sozialversicherung fachangestellte Person
Späher (sg.)	ausspähende Person
Sparer (pl.)	Sparenden
Sparringspartner	sich mit XY sparrende Person
Spaßverderber	Spaßbremse
Spaziergänger (sg.)	Person zu Fuß; spazierende Person; wandernde Person; Wandersperson
Spaziergänger (pl.)	Personen zu Fuß
Spediteur	für den Warentransport beauftragte Person
Spekulant	spekulierende Person
Spender (pl.)	Gebende; Sponsoring; Spenden
Spezialist	auf [Thema] spezialisierte Person
Spezialisten (pl.)	Sachkundige; Fachleute; Sachverständige
Spezialistenfunktion	Sachkundigenfunktion
Spieler (sg.)	Teammitglied
Spieler (pl.)	Spielende; Teammitglieder
Spielergruppen	Teams, Gruppen
Spielleiter	Spielleitung; Spielmoderation
Spielverderber	Spielverderbende Person; Spaßbremse
Spion	auskundschaftende Person; spionierende Person
Spitzbubenleiter	Steighilfe; Raubleiter; Baumleiter; Dachlattentreppe
Spitzenvertreter	Spitzenvertretung
Sprachschüler (pl.)	Sprachlernende; Spracherlernende
Sprecher (sg.) [Radio, Fernsehen, Hörbuch]	Stimme; Text gesprochen von; Moderation; Kommentar; Ansage; sprechende Person
Sprecher [einer Organisation, Gruppe]	Sprachrohr; Pressestelle; Öffentlichkeitsarbeit
Sprecher (pl.) [einer Sprache]	Sprechende; Sprachbenutzende
Sprecher (pl.)	Abgeordnete
Sprecherwechsel	Turn-Taking; Redeübernahme; Vergabe des Rederechts
Sprengbefugter	sprengbefugte Person
Sprengberechtigter	sprengberechtigte Person
Springer/Springerdienst	Ersatz; Vertretung; Stellvertretung
Sponsoren	Sponsoring; geldgebende Personen/Firmen; unterstützende Personen/Firmen; Sponsoringkreis; Sponsoringbeteiligte
Sportfreunde	Mitglieder des/unseres Vereins
Sportler (sg.)	sporttreibende Person; sportlich aktiver Mensch; Aktivmensch; Fitmensch
Sportler (pl.)	Sporttreibende; sportlich Aktive; 
Staatsbürgerschaft	Staatsangehörigkeit; Nationalität
Staatsmänner	Volksbeauftragte; Menschen in der Politik; Mitglieder des Bundestags / Bundesrats / der Regierung / ...; MdB
Stadtführer	Stadtführung; Reiseleitung; [ist das Buch / der Prospekt gemeint, muss nicht gegendert werden]
Stakeholder	Anspruchsgruppe; Interessenvertretung
Star	berühmte Persönlichkeit; Berühmtheit [einige empfinden den Begriff Star bereits genderneutral, z.B. Sie ist ein Star.]
Statist	stumme Rolle; Person ohne Sprechrolle; Nebenfigur
Steinewerfer (pl.)	Steinewerfende; Steine werfende Personen
Steinmetz	Stein bearbeitende Person
Stelleninhaber (sg.)	Stelle ausführende Person; Funktion bekleidende Person
Stellvertreter (sg.)	Stellvertretung
Sterbender	sterbende Person
Steuerberater (sg.)	Steuerberatung; Steuerkanzlei; zu Steuern beratende Person; der steuerberatenden Berufe angehörige Person
Steuerberater (pl.)	Angehörige der steuerberatenden Berufe
Steuerberaterpraxis	Steuerberatungspraxis
Steuerhinterzieher (pl.)	Steuerhinterziehende
Steuerschuldner (sg.)	steuerschuldige Person; abgabenpflichtige Person
Steuerzahler (sg.)	steuerzahlende Person; steuerpflichtige Person
stiefmütterlich	stiefelterlich; achtlos; nachlässig; gleichgültig; lieblos
Stifterrat	Stiftungsrat
Stifterversammlung	Stiftungsversammlung
Stimmzähler (sg.)	Stimmen zählende Person; Stimmen zählendes Mitglied
Stipendiat	geförderte Person
Stipendiaten	Studierende mit Stipendium; Geförderte
Störer (pl.)	Störende
Strafgefangener	Person in Haft
Sträfling	Person in Haft
Straftäter	straffällige Person
Strahlemann [bei Babys]	Sonnenschein
Stratege	strategisch agierende Person; planvoll handelnde Person
Streamer (pl.)	Streamende
Strichmännchen	Strichfigürchen; Strichmensch; Strichmenschlein
Strohmann	Strohmensch; Strohfigur
Strohmänner	Strohleute
Student	Studi; Mitglied der Studierenden
Studenten	Studierende; Studis
Studentenjob	Studierendenjob; Studijob; Job
Studentenstadt	Studi-Stadt; Universitätsstadt; Studierendenstadt; Hochschulstadt
Studentenwerk	Studierendenwerk
Studentenwohnheim	Studierendenwohnheim
Studienanfänger (pl.)	Studienbeginnende; Erstis; Erstsemestrige
Studienaussteiger (pl.)	Studienabbrechende
Studienbewerber (pl.)	Studienbewerbungen; Einschreibungen
Subunternehmer	Subunternehmen
Supervisor	Person mit Führungsverantwortung; Person mit leitender Funktion/mit Kontrollfunktionen; Person, die Supervision anbietet
Supervisoren	Supervidierende
Supporter (pl.)	Mitwirkende; Befürwortende
Sympathisant	sympathisierende Person
Systemadministrator	Systemadmin; Systemadministration
Systembetreuer	Systembetreuung
Tagesmutter	Tagespflege(person); Tagesbetreuung; Kinderbetreuung; Tageselter laut Duden: der oder das Elter (Singular von Eltern)
Tagesmütter	Tageseltern
Talkmaster (sg.)	Moderation; moderierende Person
Tante-Emma-Laden	Minimarkt; Laden für Waren des täglichen Bedarfs
Tanten und Onkel	Geschwister der Eltern
Tänzer (pl.)	Tanzende; Tanzbegeisterte
Tatbeteiligter (sg.)	an einer Tat beteiligte Person
Tatbeteiligte (pl.)	[im Plural ist dieses Wort schon gendergerecht]
Täter (sg.)	Unrechtsperson; straffällig gewordene Person
Täter (pl.)	Unrechtspersonen; Tatbegehende; Kriminelle; (Straf-)Tat begangen von...
Täterrolle	Tatbegehende
Taucher (sg.)	Tauchsport ausübende Person; tauchende Person
Täufling	Taufkind; getauft werdende Person; zu taufende Person
Teamleiter (sg.)	Teamleitung
Teampartner (sg.)	Teammitglied;
Teampartner (pl.)	Teammitglieder; Teambeteiligte (Personen)
Teamplayer	teamfähige Person
Techniker (sg.)	technische Fachkraft
... staatlich anerkannter Techniker	... Technische Fachkraft mit staatlicher Anerkennung; staatlich anerkannte Fachkraft im Bereich Technik
Technologe	Technologiefachkraft
Teilnehmer (sg.)	mitwirkende Person; teilnehmende Person
Teilnehmer (pl.)	Teilnehmende; Beteiligte; alle, die an ... teilnehmen; Anwesende; Anmeldungen
Teilnehmergebühr	Teilnahmegebühr; Kursgebühr; Kosten
Teilnehmerliste	Teilnahmeliste; Anwesenheitsliste; Teilnehmendenliste
teilnehmerorientiert	subjektorientiert; personorientiert; teilnehmendenorientiert; gruppenorientiert
Teilnehmerzahl	Teilnahmezahl; Gruppengröße; Anmeldezahl
Telemitarbeiter (sg.)	Remote-Personal; Tele-Personal
Telemitarbeiter (pl.)	Telemitarbeitende; Tele-Personal; Remote-Personal
Terrorist	des Terrors verdächtigte Person; eines Terroranschlags überführte Person
Terroristen	Terrorisierende
Tester (pl.)	Testende; Testpersonen
Testleiter (sg.)	Testleitung
Theaterpädagoge	theaterpädagogische Fachkraft
Theoretiker (pl.)	theoretisch Arbeitende
Therapeut	therapeutisches Fachpersonal
Therapeuten	Therapierende
Tierarzt	tiermedizinisches Fachpersonal
Tierhalter	tierhaltende Person
Tierschützer (sg.)	im Tierschutz engagierte Person
Tierschützer (pl.)	Tierschützende
Tischnachbar	Person neben dir; nebenansitzende Person
Tontechniker	tontechnische Fachkraft
Töpfer (sg.)	töpfernder Mensch
Torhüter	torhütende Person
Torwart	torhütende Person
Tourguide	Tourleitung; Reiseleitung
Touristen	Urlaubsgäste siehe Anmerkung unter 'Gäste'
Träger	Trägerschaft; verantwortliche Einrichtung/Körperschaft
Träger (pl.)	[im Sinne von Kleidungsstücke tragen] Tragende
Trainer (sg.)	Übungsleitung; moderierende Person
Trainer (pl.)	Moderierende; Referierende; Vortragende; Unterrichtende; Lehrende
Transatlantiker (pl.)	Menschen (in der Politik) mit transatlantischen Gedanken
Trauzeuge	die Trauung bezeugende Personen; Trauungsbegleitung
Trauzeugen	die Trauung Bezeugende; Trauungsbegleitung
Treuhänder	treuhändisch beauftragte Person
Trompeter	Trompete spielende Person
Tüftler	tüftelnde Person
der Türke [im Sinne vom Gemüse-/Obstladen]	türkischer Gemüse-/Obstladen; Laden um die Ecke; kleiner Gemüseladen
Turnschwestern	Turngeschwister
Tutor	studentische Hilfskraft; Übungsgruppenleitung; Tutoriumsleitung
Tutoren	Übungs(an)leitende; Tutoriumsbegleitende; Ratgebende; Begleitung; studentische Hilfskräfte
Überbringer	überbringende Person
übermannen	überkommen; überwältigen
übermannt werden	überwältigt werden
... von Gefühlen übermannt werden	... von Gefühlen überwältigt werden; sich von Gefühlen hinreisen lassen
Übersetzer (pl.)	Übersetzende; Literatur Übersetzende
Übungsleiter (sg.)	sportliche/technische/praktische Anleitung; anleitende Person
Umfrageteilnehmer (pl.)	Befragte
Umschüler (pl.)	Umlernende; Umschulende; die zu Qualifizierenden; Personen in beruflicher Neuorientierung
Unbekannter	unbekannte Person
unbemannt	ohne Besatzung; maschinengesteuert; autonom; ferngesteuert; unbesetzt; robotisch; personenlos
Unternehmer (sg.)	Gewerbe betreibende Person; selbstständige Person; Unternehmensleitung
Unternehmer (pl.)	Selbstständige; Wirtschaftstreibende; Geschäftsleute; Gewerbe Betreibende
Unterstützer (sg.)	support; Förderung durch ...; unterstützendes Unternehmen; unterstützende Person
Unterstützer (pl.)	support; Geldgebende; Förderung durch ...; Mitwirkende; Befürwortende
Unterzeichner (sg.)	unterzeichnende Person; unterzeichnende Partei; Unterschrift
Unterzeichner (pl.)	Unterzeichnende; Unterschriften
Urheber	Person der Urheberschaft
Recht auf Urheberschaft;
Copyright juristisch etwas anderes: Copyright ist ein Verwertungsrecht, das abgegeben werden kann; Urheberrecht kann nicht abgegeben werden
Urheberrecht	;
Urlauber (sg.)	reisende Person; urlaubende Person
Urlauber (pl.)	Reisende
User (pl.)	Nutzende; Personen, die Apps/Software nutzen; Mitglieder
V-Mann	V-Person
V-Männer	V-Leute
Vater	Elternteil
Vaterland	Heimatland; Geburtsland; Erstland
väterlicherseits	[vornamen-]licherseits	bei gleichgeschlechtlichen Elternpaaren, z.B. janlicherseits, olaflicherseits
Veganer	vegan lebende Person
Vegetarier	vegetarisch lebende Person
Veranstalter (sg.)	veranstaltet durch/von ... ; Organisation; Ausrichtung
Veranstalter (pl.)	Einladende; veranstaltet durch/von ... ; Organisation; Ausrichtung
Verantwortlicher (sg.)	die Verantwortung tragende Person; verantwortliche Person
Verantwortliche (pl.)	[im Plural ist dieses Wort schon gendergerecht]
Verbandsgesellschafter (pl.)	Vertretungen / Beteiligte der Verbände
Verbandsvertreter (pl.)	Vertretungen / Beteiligte der Verbände
Verbraucher (pl.)	Kundschaft; Konsumierende; Privatpersonen; Verbrauchende;
Verbraucherpreise	Verbrauchspreis; Verbrauchendenpreis; Konsumpreis; Preis
Verbraucherschutz	Konsumierendenschutz
Verbraucherschützer (sg.)	mit dem Verbraucherschutz beauftragte Person;
Verbrecher (sg.)	Person, die eine Straftat/ein Verbrechen begeht
Verbrüderung	Verschwisterung
Verbündeter	ein Bündnis einhaltende Person; verbündete Person
Verfasser (pl.)	verfasst von; Autorenschaft
Verfechter	für einen Standpunkt einstehende Person; für ... einstehende Person
Verfolger	verfolgende Person
Verfolgungsakteure	Verfolgende
Verhandlungspartner	Verhandlungsgegenseite; Verhandlungsgegenüber
Verkäufer (sg.)	Kaufhauspersonal; Personal; Verkaufskraft; Verkaufsperson; Geschäft; Onlineshop
Verkäufer (pl.)	Kaufhauspersonal; Personal; Verkaufskräfte; Anbietende; Handeltreibende; Verkaufende
Verkehrssünder (sg.)	Verkehrsregeln missachtende Person; gegen Verkehrsregeln verstoßende Person
Verkehrsteilnehmer (pl.)	Verkehrsbeteiligte
Verleger (pl.)	Publizierende
Verleiher (sg.)	verleihende Person
Verletzter (sg.)	verletzte Person
Verlierer (sg.)	der letzte Platz
Verlierer (pl.)	die Letzten
Verlobter (sg.)	verlobte Person
Verlobte (pl.)	[im Plural ist dieses Wort schon gendergerecht]
Vermieter (sg.)	vermietende Person
Vermittler (sg.)	Mittelsperson
Versender	versendende Person; versendet von ...
Versichertenkarte	Versicherungskarte; Gesundheitskarte; Krankenkassenkarte
Versichertennummer	Versicherungsnummer
Versicherungsnehmer (sg.)	Versicherung abschließende Person
Versicherungsnehmer (pl.)	Personen, die Versicherung abschließen, Versicherung abschließende Personen
Verstorbener	verstorbene Person
Versuchsleiter (sg.)	Versuchsleitung
Verteidiger (sg.)	Verteidigung; Rechtsvertretung
Vertragspartner (sg.)	Vertragspartei; Vertragsperson
Vertragspartner (pl.)	Vertragsparteien
Vertreter (sg.)	in vertretender Position; Mitglied von ...
Vertreter (pl.)	vertreten durch; Vertretung; Delegierte; Abgesandte; Abgeordnete; Beauftragte; Mitglieder; Vertretende
... Vertreter der Presse	... Mitglieder der Presse
... gesetzlicher Vertreter	... gesetzliche Vertretung; gesetzlich vertretende Person
Vertriebler (pl.)	Vertriebsmitarbeitende
Verursacher (sg.)	verursachende Person
Verursacher (pl.)	Verursachende
Verwalter	verwaltende Person/Firma/Institution; Verwaltung
Verwandter (sg.)	Familienmitglied
Verwender (sg.)	verwendende Person
Verwender (pl.)	Verwendende
Veteran	altgediente Person
Veteranen	Altgediente; ehemalige Kriegsteilnehmende
Veterinär	Fachkraft für Tiermedizin; Tiere heilende Person
Virologen (pl.)	Menschen mit Fachgebiet Virologie; medizinisches / ärztliches Fachpersonal mit Expertise in Virologie
Visionär	Person mit Weitblick; Person mit Visionen
Vizevorsitz; Vizepräsidentschaft; Vize; 2. vorsitzende Person der Präsidentschaft
Volkswirte / Volkswirtschaftler (pl.)	Fachleute der Volkswirtschaft; Graduierte der Volkswirtschaft; Studierende der Volkswirtschaft
Volontärsbeauftragter	beauftragte Person fürs Volontariat
Vordenker (sg.)	vordenkende Person; Weg bereitende Person
Vordermann	Person davor; Person, die davor kam; vorausgehende Person
... Halten Sie 1,5m Abstand zum Vordermann.	... Halten Sie 1,5m Abstand zu anderen. / ... Halten Sie 1,5m Abstand zur Person vor Ihnen.
Vorgänger	vorangegangene Person; Person vor mir
Vorgängerprojekt	Vorprojekt; vorangegangenes Projekt
Vorgängerstudie	Vorstudie; vorangegangene Studie
Vorgesetzter	Führungskraft
Vormund	die Vormundschaft innehabende Person; Vormundschaft
... Vormund ist Frau Schulz.	... Die Vormundschaft hat Frau Schulz.
Vorredner	Person, die eine Rede gehalten hat; Person vor mir
Vorreiter	Person an der Spitze; Person, die etwas vorlebt; Person, die voraus denkt/handelt
Vorreiterrolle	Führungsrolle
Vorsitzender (sg.)	den 1. Vorsitz hat ...
Vorstand (sg.)	Vorstandsmitglied; im Vorstand
... Wer sind die anderen Vorstände?	... Wer sind die anderen Vorstandsmitglieder? / Wer ist noch im Vorstand?
Wachmann	Wachpersonal
Wächter (sg./pl.)	Wache
Wähler (pl.)	Wahlberechtigte; alle, die zur Wahl gegangen sind; Stimmberechtigte; Wahlvolk
Wahlhelfer	Wahlhilfe; bei der Wahl helfende Person
Wählerinitiative	Initiative der Wahlberechtigten
Wählerverzeichnis	Wählendenverzeichnis
Wählerstimme	Wahlstimme
Wahlmänner	Wahlleute
Waidmannsheil!	Waidleutsheil!
Waise	[dieser Begriff ist bereits genderneutral]
Wanderer (sg.)	wandernde Person; Person auf Wanderung
Wart	überwachende Person
Wärter	Betreuung
Wegbegleiter (sg.)	wegbegleitende Person; Wegbegleitung
Wegbereiter (sg.)	Weg bereitende Person; prägende Person
Wegewart	Wege überwachende Person
Weggefährte	Wegbegleitung
Weggefährten	Wegbegleitungen; den Weg begleitende Personen 
Weinkenner (pl.)	Weinbegeisterte
Weltenbummler (pl.)	Weltreisende
weltmännisch	kosmopolitisch; weltgewandt
Weltmarktführer (pl.)	Weltmarktführende
Werkstudent	Werkstudi; studentische Hilfskraft; studentische Stelle; studentischer Job
Werkstudenten	Werkstudierende
Werkstudentenstelle	Werkstudierendenstelle
Werkzeugmechaniker	Fachkraft für Werkzeugmechanik
Wettbewerber (sg.)	Konkurrenz; Wettbewerbsteilnehmende
Widersacher	Widerpart; Konkurrenz
Widerstandskämpfer (pl.)	Widerstandsleistende
Wiederholer (pl.) [z.B. einer Prüfung]	Wiederholende
Wikipedianer	Menschen hinter Wikipedia; Mitwirkende bei Wikipedia
Wilderer	wildernde Person; Person, die wildert; Person, die unbefugt jagt
Winzer (sg.)	Weinbau betreibende Person
Wirtschaftsprüfer (pl.)	Angehörige der wirtschaftsprüfenden Berufe
Wirtschaftswissenschaftler (pl.)	Forschende der Wirtschaft(swissenschaft); Fachleute der Wirtschaftswissenschaft
Wissenschaftler (sg.)	Mensch aus der Wissenschaft; forschende Person
Wissenschaftler (pl.)	Forschende; wissenschaftliches Personal der Universität; Menschen aus der Wissenschaft; wissenschaftliche Arbeitskraft
wissenschaftlicher Mitarbeiter	wissenschaftlich mitarbeitende Person; wissenschaftliche Fachkraft
wissenschaftliche Mitarbeiter	wissenschaftliche Mitarbeitende
Wissensträger	Wissenstragende Person; des Wissens mächtige Person
Witwer (pl.)	Verwitwete
Wohnungseigentümer (pl.)	Wohnungsinhabende
Workshopleiter (sg./pl.)	Workshopleitung
Xylophonspieler (pl.)	Xylophon Spielende
YouTuber	auf Youtube arbeitende/performende Person; Person auf Youtube; einen Youtube-Kanal betreibende Person;
Zahlungsempfänger	Zahlung empfangende Person
Zahnarzt	zahnärztliches Fachpersonal; Fachkraft der Zahnmedizin; zahnmedizinisches Fachpersonal
Zahnarztpraxis	Praxis für Zahnerhaltung; zahnmedizinische Praxis; Praxis für Zahnmedizin
Zauberer (sg.)	Zaubertrick vorführende Person; Zauberkraft ausübende Person
Zauberer (pl.)	Zauberkunstschaffende
Zehnkämpfer (sg.)	am Zehnkampf teilnehmende Person
Zeitarbeitnehmer (pl.)	Zeitarbeitnehmende
Zeitgenosse	Mitmensch
Zeitwächter	Zeitwache
Zeitzeuge	zeitbezeugende Person; vor Ort gewesene Person
Zeuge	bezeugende Person
Zeugen	Bezeugende
Zimmerer	Zimmereifachkraft
Zimmermädchen	Servicekraft; Raumpflege; Reinigungskraft
Zimmermann	Zimmereifachkraft
Zivilist	Zivilperson
Zivilisten	Zivilpersonen
Züchter	Fachperson Tier-/Pflanzen-/...-Zucht
Zugang für Rollstuhlfahrer	barrierefreier Zugang
Zuhörer (pl.)	Publikum; Auditorium; Zuhörerschaft
Zulieferer	Zulieferfirma
Zuschauer (sg.)	Person aus dem Publikum
Zuschauer (pl.)	Publikum; Zuschauende
Zuschauerquote	Einschaltquote
Zuschauerraum	Zuschauraum; Publikumsraum
Zuschauerzahl	Publikumszahl
Zuständiger	zuständige Person
Zuwanderer (pl.)	Zugewanderte; Personen mit Migrationshintergrund; Eingewanderte; Migrierte
Zweifler (pl.)	Zweifelnde
